Iteration 1/500: F1 score = 0.6659611640435492, params = {'learning_rate': 0.0001, 'dropout_rate': 0.1, 'l2_lambda': 0.0001, 'batch_size': 64}
Iteration 178/500: F1 score = 0.6867884786713168, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 0.0001, 'batch_size': 256}
Iteration 179/500: F1 score = 0.6668900301347095, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 0.0001, 'batch_size': 512}
Iteration 180/500: F1 score = 0.650945372271759, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 0.0001, 'batch_size': 1024}
Iteration 181/500: F1 score = 0.6869535555137434, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 0.001, 'batch_size': 64}
Iteration 182/500: F1 score = 0.6911689116195087, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 0.001, 'batch_size': 128}
Iteration 183/500: F1 score = 0.6582386085962765, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 0.001, 'batch_size': 256}
Iteration 184/500: F1 score = 0.6260988760084635, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 0.001, 'batch_size': 512}
Iteration 185/500: F1 score = 0.7040660332059979, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 0.001, 'batch_size': 1024}
Iteration 186/500: F1 score = 0.6475454393223127, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 0.01, 'batch_size': 64}
Iteration 187/500: F1 score = 0.6404329990196972, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 0.01, 'batch_size': 128}
Iteration 188/500: F1 score = 0.6075223366607236, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 0.01, 'batch_size': 256}
Iteration 189/500: F1 score = 0.6617180080479043, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 0.01, 'batch_size': 512}
Iteration 190/500: F1 score = 0.694050582687063, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 0.01, 'batch_size': 1024}
Iteration 191/500: F1 score = 0.6272507438179519, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 0.1, 'batch_size': 64}
Iteration 192/500: F1 score = 0.6111487673265649, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 0.1, 'batch_size': 128}
Iteration 193/500: F1 score = 0.6410985021180846, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 0.1, 'batch_size': 256}
Iteration 194/500: F1 score = 0.6241507234451149, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 0.1, 'batch_size': 512}
Iteration 195/500: F1 score = 0.5898132665245738, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 0.1, 'batch_size': 1024}
Iteration 196/500: F1 score = 0.5958210855638211, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 1, 'batch_size': 64}
Iteration 197/500: F1 score = 0.6577456205203177, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 1, 'batch_size': 128}
Iteration 198/500: F1 score = 0.5289644317910682, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 1, 'batch_size': 256}
Iteration 199/500: F1 score = 0.5938592200266173, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 1, 'batch_size': 512}
Iteration 200/500: F1 score = 0.41670093832197136, params = {'learning_rate': 0.001, 'dropout_rate': 0.3, 'l2_lambda': 1, 'batch_size': 1024}
Iteration 201/500: F1 score = 0.7201442748316066, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 0.0001, 'batch_size': 64}
Iteration 202/500: F1 score = 0.6923428118576568, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 0.0001, 'batch_size': 128}
Iteration 203/500: F1 score = 0.6643596310511269, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 0.0001, 'batch_size': 256}
Iteration 204/500: F1 score = 0.3210081474024958, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 0.0001, 'batch_size': 512}
Iteration 205/500: F1 score = 0.4542422191217052, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 0.0001, 'batch_size': 1024}
Iteration 206/500: F1 score = 0.6880940813443623, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 0.001, 'batch_size': 64}
Iteration 207/500: F1 score = 0.7226503311172962, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 0.001, 'batch_size': 128}
Iteration 208/500: F1 score = 0.7179185478343554, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 0.001, 'batch_size': 256}
Iteration 209/500: F1 score = 0.6714626296607175, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 0.001, 'batch_size': 512}
Iteration 210/500: F1 score = 0.30333738772822944, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 0.001, 'batch_size': 1024}
Iteration 211/500: F1 score = 0.6986655182944125, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 0.01, 'batch_size': 64}
Iteration 212/500: F1 score = 0.7132634405995657, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 0.01, 'batch_size': 128}
Iteration 213/500: F1 score = 0.6731317265736815, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 0.01, 'batch_size': 256}
Iteration 214/500: F1 score = 0.40869654039869435, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 0.01, 'batch_size': 512}
Iteration 215/500: F1 score = 0.6801910806563538, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 0.01, 'batch_size': 1024}
Iteration 216/500: F1 score = 0.6568066247040502, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 0.1, 'batch_size': 64}
Iteration 217/500: F1 score = 0.6138091889171137, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 0.1, 'batch_size': 128}
Iteration 218/500: F1 score = 0.6602169591369004, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 0.1, 'batch_size': 256}
Iteration 219/500: F1 score = 0.6000678819521474, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 0.1, 'batch_size': 512}
Iteration 220/500: F1 score = 0.7213789503399811, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 0.1, 'batch_size': 1024}
Iteration 221/500: F1 score = 0.5880138852389709, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 1, 'batch_size': 64}
Iteration 222/500: F1 score = 0.6498734933333067, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 1, 'batch_size': 128}
Iteration 223/500: F1 score = 0.6143163917326463, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 1, 'batch_size': 256}
Iteration 224/500: F1 score = 0.4404096331998624, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 1, 'batch_size': 512}
Iteration 225/500: F1 score = 0.2975702762193295, params = {'learning_rate': 0.001, 'dropout_rate': 0.4, 'l2_lambda': 1, 'batch_size': 1024}
Iteration 226/500: F1 score = 0.664021897401971, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 0.0001, 'batch_size': 64}
Iteration 227/500: F1 score = 0.6636591492443934, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 0.0001, 'batch_size': 128}
Iteration 228/500: F1 score = 0.6557470661595, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 0.0001, 'batch_size': 256}
Iteration 229/500: F1 score = 0.28936327067114465, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 0.0001, 'batch_size': 512}
Iteration 230/500: F1 score = 0.35986444853501615, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 0.0001, 'batch_size': 1024}
Iteration 231/500: F1 score = 0.6707904857275762, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 0.001, 'batch_size': 64}
Iteration 232/500: F1 score = 0.6474560400038499, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 0.001, 'batch_size': 128}
Iteration 233/500: F1 score = 0.7121659413096776, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 0.001, 'batch_size': 256}
Iteration 234/500: F1 score = 0.47431904579256884, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 0.001, 'batch_size': 512}
Iteration 235/500: F1 score = 0.3780493902687972, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 0.001, 'batch_size': 1024}
Iteration 236/500: F1 score = 0.7004584894654009, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 0.01, 'batch_size': 64}
Iteration 237/500: F1 score = 0.7002374584737546, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 0.01, 'batch_size': 128}
Iteration 238/500: F1 score = 0.7102910634594443, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 0.01, 'batch_size': 256}
Iteration 239/500: F1 score = 0.6672530539291532, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 0.01, 'batch_size': 512}
Iteration 240/500: F1 score = 0.3687680741118395, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 0.01, 'batch_size': 1024}
Iteration 241/500: F1 score = 0.6832921181127173, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 0.1, 'batch_size': 64}
Iteration 242/500: F1 score = 0.6724646116091582, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 0.1, 'batch_size': 128}
Iteration 243/500: F1 score = 0.639502499142429, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 0.1, 'batch_size': 256}
Iteration 244/500: F1 score = 0.2956790169196711, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 0.1, 'batch_size': 512}
Iteration 245/500: F1 score = 0.2241358186350438, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 0.1, 'batch_size': 1024}
Iteration 246/500: F1 score = 0.5168486281610131, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 1, 'batch_size': 64}
Iteration 247/500: F1 score = 0.49789909615045014, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 1, 'batch_size': 128}
Iteration 248/500: F1 score = 0.6409109173344419, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 1, 'batch_size': 256}
Iteration 249/500: F1 score = 0.620347341201261, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 1, 'batch_size': 512}
Iteration 250/500: F1 score = 0.24892018645640893, params = {'learning_rate': 0.001, 'dropout_rate': 0.5, 'l2_lambda': 1, 'batch_size': 1024}
Iteration 251/500: F1 score = 0.5917939346752389, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 0.0001, 'batch_size': 64}
Iteration 252/500: F1 score = 0.6295487581954632, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 0.0001, 'batch_size': 128}
Iteration 253/500: F1 score = 0.6272549429512234, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 0.0001, 'batch_size': 256}
Iteration 254/500: F1 score = 0.7012068918746448, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 0.0001, 'batch_size': 512}
Iteration 255/500: F1 score = 0.3612485495052779, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 0.0001, 'batch_size': 1024}
Iteration 256/500: F1 score = 0.6500116187673795, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 0.001, 'batch_size': 64}
Iteration 257/500: F1 score = 0.7140368203402124, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 0.001, 'batch_size': 128}
Iteration 258/500: F1 score = 0.5566097717706427, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 0.001, 'batch_size': 256}
Iteration 259/500: F1 score = 0.5987108593231387, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 0.001, 'batch_size': 512}
Iteration 260/500: F1 score = 0.6677460612823539, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 0.001, 'batch_size': 1024}
Iteration 261/500: F1 score = 0.6049851393570755, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 0.01, 'batch_size': 64}
Iteration 262/500: F1 score = 0.5981334388981793, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 0.01, 'batch_size': 128}
Iteration 263/500: F1 score = 0.6374468426711921, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 0.01, 'batch_size': 256}
Iteration 264/500: F1 score = 0.4103485979421699, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 0.01, 'batch_size': 512}
Iteration 265/500: F1 score = 0.5231849177977882, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 0.01, 'batch_size': 1024}
Iteration 266/500: F1 score = 0.4390882629759934, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 0.1, 'batch_size': 64}
Iteration 267/500: F1 score = 0.30664333329800886, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 0.1, 'batch_size': 128}
Iteration 268/500: F1 score = 0.35371686536862107, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 0.1, 'batch_size': 256}
Iteration 269/500: F1 score = 0.46806013874856073, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 0.1, 'batch_size': 512}
Iteration 270/500: F1 score = 0.5291112726553948, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 0.1, 'batch_size': 1024}
Iteration 271/500: F1 score = 0.379437211891048, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 1, 'batch_size': 64}
Iteration 272/500: F1 score = 0.4270279605136162, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 1, 'batch_size': 128}
Iteration 273/500: F1 score = 0.3382881238773996, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 1, 'batch_size': 256}
Iteration 274/500: F1 score = 0.36370624388887696, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 1, 'batch_size': 512}
Iteration 275/500: F1 score = 0.1855678941731276, params = {'learning_rate': 0.01, 'dropout_rate': 0.1, 'l2_lambda': 1, 'batch_size': 1024}
Iteration 276/500: F1 score = 0.6503496197344034, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 0.0001, 'batch_size': 64}
Iteration 277/500: F1 score = 0.6731124584985201, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 0.0001, 'batch_size': 128}
Iteration 278/500: F1 score = 0.7010917749881846, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 0.0001, 'batch_size': 256}
Iteration 279/500: F1 score = 0.6758719518817816, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 0.0001, 'batch_size': 512}
Iteration 280/500: F1 score = 0.7011753972001755, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 0.0001, 'batch_size': 1024}
Iteration 281/500: F1 score = 0.7017681953677286, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 0.001, 'batch_size': 64}
Iteration 282/500: F1 score = 0.6116682518177008, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 0.001, 'batch_size': 128}
Iteration 283/500: F1 score = 0.5575096003308136, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 0.001, 'batch_size': 256}
Iteration 284/500: F1 score = 0.6231689061384184, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 0.001, 'batch_size': 512}
Iteration 285/500: F1 score = 0.6628361257173306, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 0.001, 'batch_size': 1024}
Iteration 286/500: F1 score = 0.6180388803147782, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 0.01, 'batch_size': 64}
Iteration 287/500: F1 score = 0.6023831643210515, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 0.01, 'batch_size': 128}
Iteration 288/500: F1 score = 0.6197508724040269, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 0.01, 'batch_size': 256}
Iteration 289/500: F1 score = 0.4176228918587069, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 0.01, 'batch_size': 512}
Iteration 290/500: F1 score = 0.5463170137608597, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 0.01, 'batch_size': 1024}
Iteration 291/500: F1 score = 0.2576942021834541, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 0.1, 'batch_size': 64}
Iteration 292/500: F1 score = 0.481307753355706, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 0.1, 'batch_size': 128}
Iteration 293/500: F1 score = 0.6747920074442627, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 0.1, 'batch_size': 256}
Iteration 294/500: F1 score = 0.5108137531799888, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 0.1, 'batch_size': 512}
Iteration 295/500: F1 score = 0.3631026777099728, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 0.1, 'batch_size': 1024}
Iteration 296/500: F1 score = 0.3017561329300185, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 1, 'batch_size': 64}
Iteration 297/500: F1 score = 0.35335363858160673, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 1, 'batch_size': 128}
Iteration 298/500: F1 score = 0.33792096108280073, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 1, 'batch_size': 256}
Iteration 299/500: F1 score = 0.3487240523660026, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 1, 'batch_size': 512}
Iteration 300/500: F1 score = 0.292242035940972, params = {'learning_rate': 0.01, 'dropout_rate': 0.2, 'l2_lambda': 1, 'batch_size': 1024}
Iteration 301/500: F1 score = 0.6675239215009707, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 0.0001, 'batch_size': 64}
Iteration 302/500: F1 score = 0.6249007088148474, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 0.0001, 'batch_size': 128}
Iteration 303/500: F1 score = 0.7075899467399149, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 0.0001, 'batch_size': 256}
Iteration 304/500: F1 score = 0.6606305413002552, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 0.0001, 'batch_size': 512}
Iteration 305/500: F1 score = 0.6733909738915026, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 0.0001, 'batch_size': 1024}
Iteration 306/500: F1 score = 0.5597534988395461, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 0.001, 'batch_size': 64}
Iteration 307/500: F1 score = 0.6358029892969806, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 0.001, 'batch_size': 128}
Iteration 308/500: F1 score = 0.6736683214116393, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 0.001, 'batch_size': 256}
Iteration 309/500: F1 score = 0.6071504578069294, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 0.001, 'batch_size': 512}
Iteration 310/500: F1 score = 0.6619880098208358, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 0.001, 'batch_size': 1024}
Iteration 311/500: F1 score = 0.6123374636248579, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 0.01, 'batch_size': 64}
Iteration 312/500: F1 score = 0.5627023187841915, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 0.01, 'batch_size': 128}
Iteration 313/500: F1 score = 0.6528658619777977, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 0.01, 'batch_size': 256}
Iteration 314/500: F1 score = 0.5632840989030047, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 0.01, 'batch_size': 512}
Iteration 315/500: F1 score = 0.6601624624923182, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 0.01, 'batch_size': 1024}
Iteration 316/500: F1 score = 0.4623563913111275, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 0.1, 'batch_size': 64}
Iteration 317/500: F1 score = 0.5709418680852657, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 0.1, 'batch_size': 128}
Iteration 318/500: F1 score = 0.5499681191797196, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 0.1, 'batch_size': 256}
Iteration 319/500: F1 score = 0.3799268845967288, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 0.1, 'batch_size': 512}
Iteration 320/500: F1 score = 0.5120847591429277, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 0.1, 'batch_size': 1024}
Iteration 321/500: F1 score = 0.3549385163786733, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 1, 'batch_size': 64}
Iteration 322/500: F1 score = 0.328370180589417, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 1, 'batch_size': 128}
Iteration 323/500: F1 score = 0.292285417918755, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 1, 'batch_size': 256}
Iteration 324/500: F1 score = 0.3827514450048685, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 1, 'batch_size': 512}
Iteration 325/500: F1 score = 0.32870464377520087, params = {'learning_rate': 0.01, 'dropout_rate': 0.3, 'l2_lambda': 1, 'batch_size': 1024}
Iteration 326/500: F1 score = 0.6665095656329466, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 0.0001, 'batch_size': 64}
Iteration 327/500: F1 score = 0.6683700946322065, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 0.0001, 'batch_size': 128}
Iteration 328/500: F1 score = 0.6863957410603675, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 0.0001, 'batch_size': 256}
Iteration 329/500: F1 score = 0.6859686424112028, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 0.0001, 'batch_size': 512}
Iteration 330/500: F1 score = 0.669554204431876, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 0.0001, 'batch_size': 1024}
Iteration 331/500: F1 score = 0.6790075134254332, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 0.001, 'batch_size': 64}
Iteration 332/500: F1 score = 0.5509229362875543, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 0.001, 'batch_size': 128}
Iteration 333/500: F1 score = 0.6843071282979362, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 0.001, 'batch_size': 256}
Iteration 334/500: F1 score = 0.7347714067151342, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 0.001, 'batch_size': 512}
Iteration 335/500: F1 score = 0.7151425265572966, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 0.001, 'batch_size': 1024}
Iteration 336/500: F1 score = 0.5542679164722025, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 0.01, 'batch_size': 64}
Iteration 337/500: F1 score = 0.5683447457745019, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 0.01, 'batch_size': 128}
Iteration 338/500: F1 score = 0.5787615996305772, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 0.01, 'batch_size': 256}
Iteration 339/500: F1 score = 0.544489061201385, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 0.01, 'batch_size': 512}
Iteration 340/500: F1 score = 0.6018670172450838, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 0.01, 'batch_size': 1024}
Iteration 341/500: F1 score = 0.46605126834432603, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 0.1, 'batch_size': 64}
Iteration 342/500: F1 score = 0.4818763375521111, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 0.1, 'batch_size': 128}
Iteration 343/500: F1 score = 0.6261384465449076, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 0.1, 'batch_size': 256}
Iteration 344/500: F1 score = 0.576435557885224, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 0.1, 'batch_size': 512}
Iteration 345/500: F1 score = 0.4676626848937315, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 0.1, 'batch_size': 1024}
Iteration 346/500: F1 score = 0.37594349044814246, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 1, 'batch_size': 64}
Iteration 347/500: F1 score = 0.3033943856782666, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 1, 'batch_size': 128}
Iteration 348/500: F1 score = 0.44986123352456353, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 1, 'batch_size': 256}
Iteration 349/500: F1 score = 0.36476376884773093, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 1, 'batch_size': 512}
Iteration 350/500: F1 score = 0.37768040530365643, params = {'learning_rate': 0.01, 'dropout_rate': 0.4, 'l2_lambda': 1, 'batch_size': 1024}
Iteration 351/500: F1 score = 0.7012306293871844, params = {'learning_rate': 0.01, 'dropout_rate': 0.5, 'l2_lambda': 0.0001, 'batch_size': 64}
Iteration 352/500: F1 score = 0.6901273428443785, params = {'learning_rate': 0.01, 'dropout_rate': 0.5, 'l2_lambda': 0.0001, 'batch_size': 128}
Iteration 353/500: F1 score = 0.7096843443732651, params = {'learning_rate': 0.01, 'dropout_rate': 0.5, 'l2_lambda': 0.0001, 'batch_size': 256}
Iteration 354/500: F1 score = 0.6487119237481555, params = {'learning_rate': 0.01, 'dropout_rate': 0.5, 'l2_lambda': 0.0001, 'batch_size': 512}
Iteration 355/500: F1 score = 0.20208186039478962, params = {'learning_rate': 0.01, 'dropout_rate': 0.5, 'l2_lambda': 0.0001, 'batch_size': 1024}
